"","Naplan$ACARA.SML.ID","School Name","ratio","sport_index","teach_edu_index","tech_index","stu_atd","teach_tenure","State","Postcode","School Sector","School Type","Geolocation","ICSEA","Bottom SEA Quarter (%)","Lower Middle SEA Quarter (%)","Upper Middle SEA Quarter (%)","Indigenous Enrolments (%)","Language Background Other Than English - Yes (%)","Naplan$NAPLAN","Median_age_persons","Median_mortgage_repay_monthly","Median_tot_prsnl_inc_weekly","Median_rent_weekly","Median_tot_fam_inc_weekly","Average_num_psns_per_bedroom","Median_tot_hhd_inc_weekly","Average_household_size"
"2418",45757,"Mount Eliza Primary School",11.4878048780488,66,72,60,89,12.04,"VIC","3930","Government","Primary","Major Cities",1102,5,20,35,1,7,523.205410463542,55,1083,529,190,1280,0.7,926,2.1
"2419",52983,"San Remo Primary School",8.61904761904762,48,70,74,85,9.14,"VIC","3925","Government","Primary","Inner Regional",1035,23,33,26,0,7,516.705510069183,55,1083,529,190,1280,0.7,926,2.1
"2420",44135,"Dimboola Primary School",8.27272727272727,58,76,63,87,16.61,"VIC","3414","Government","Primary","Outer Regional",976,37,33,19,9,1,513.862583059453,48,1343,669,250,1619,0.8,1323,2.4
"2421",44234,"Whorouly Primary School",5.4,39,78,66,85,22.27,"VIC","3735","Government","Primary","Inner Regional",1023,20,26,49,0,4,516.314252370444,55,1300,562,270,1317,0.7,1014,2.2
"2422",44812,"Merrijig Primary School",2.375,65,68,76,89,14.5,"VIC","3723","Government","Primary","Outer Regional",973,36,39,16,16,11,515.104759753503,55,1083,529,190,1280,0.7,926,2.1
"2423",45651,"Lethbridge Primary School",11.5555555555556,57,76,80,86,16.58,"VIC","3332","Government","Primary","Inner Regional",1011,28,38,24,3,7,497.145608149719,55,1300,562,270,1317,0.7,1014,2.2
"2424",50563,"Oxley Primary School",9.66666666666667,63,76,74,87,14.5,"VIC","3678","Government","Primary","Inner Regional",998,37,25,27,3,1,514.999138418724,48,1343,669,250,1619,0.8,1323,2.4
"2425",44145,"Northcote Primary School",10.4516129032258,82,75,74,91,12.27,"VIC","3070","Government","Primary","Major Cities",1169,2,6,19,2,23,512.365072604408,48,1343,669,250,1619,0.8,1323,2.4
"2426",44206,"North Melbourne Primary School",12.7936507936508,61,81,76,88,19.53,"VIC","3051","Government","Primary","Major Cities",1139,6,9,23,1,65,545.962175524712,48,1343,669,250,1619,0.8,1323,2.4
"2427",44213,"Dandenong Primary School",10.1794871794872,55,75,62,86,11.98,"VIC","3175","Government","Primary","Major Cities",941,58,23,15,0,87,517.579658388804,48,1343,669,250,1619,0.8,1323,2.4
"2428",44348,"Malmsbury Primary School",5.91666666666667,63,73,68,90,11.11,"VIC","3446","Government","Primary","Inner Regional",1059,17,25,24,0,4,536.078611220152,36,1733,817,370,1993,0.8,1658,2.5
"2429",44439,"Williamstown North Primary School",11.7894736842105,69,75,85,91,11.61,"VIC","3016","Government","Primary","Major Cities",1135,4,11,27,0,16,521.548073682857,36,1733,817,370,1993,0.8,1658,2.5
"2430",44538,"Kerang Primary School",8.22222222222222,53,73,66,83,14.12,"VIC","3579","Government","Primary","Outer Regional",902,70,20,8,15,3,513.644100709538,38,2000,920,450,2378,0.8,2224,2.9
"2431",44638,"Drouin West Primary School",11.7619047619048,66,77,70,88,11.57,"VIC","3818","Government","Primary","Inner Regional",988,38,37,20,3,3,526.175814114612,38,1900,868,365,2274,0.8,1950,2.7
"2432",44329,"Meredith Primary School",8.71428571428571,67,75,62,88,13.23,"VIC","3333","Government","Primary","Inner Regional",982,37,40,20,7,3,514.571010141293,38,1900,868,365,2274,0.8,1950,2.7
"2433",44495,"Edi Upper Primary School",2,43,72,68,87,12.51,"VIC","3678","Government","Primary","Outer Regional",982,36,60,4,0,0,521.400464252976,38,1900,868,365,2274,0.8,1950,2.7
"2434",44549,"Eaglehawk North Primary School",11.2692307692308,70,78,65,88,21.68,"VIC","3556","Government","Primary","Inner Regional",969,47,32,15,8,1,515.042495892615,38,1900,868,365,2274,0.8,1950,2.7
"2435",44687,"Mooroopna Primary School",11,43,76,69,87,13.54,"VIC","3629","Government","Primary","Inner Regional",914,62,26,9,17,15,511.424335187803,36,1733,817,370,1993,0.8,1658,2.5
"2436",44729,"Cairnlea Park Primary School",12.0606060606061,80,74,54,87,13.39,"VIC","3023","Government","Primary","Major Cities",1024,27,30,28,1,70,514.434667575713,40,1850,809,351,2081,0.8,1500,2.3
"2437",45927,"Ballan Primary School",12.2631578947368,62,76,62,89,14.14,"VIC","3342","Government","Primary","Inner Regional",997,39,36,17,2,4,514.825184803484,38,1597,665,341,1643,0.7,1313,2.3
"2438",44375,"Mount Pleasant Primary School",9.36363636363636,48,71,72,85,11.94,"VIC","3350","Government","Primary","Inner Regional",956,53,21,19,9,4,522.130705997004,38,1597,665,341,1643,0.7,1313,2.3
"2439",44506,"Tatura Primary School",13,50,75,47,89,15.17,"VIC","3616","Government","Primary","Inner Regional",983,39,32,22,7,12,512.874480235852,38,1597,665,341,1643,0.7,1313,2.3
"2440",44530,"Toolamba Primary School",9.25,47,78,62,89,14.05,"VIC","3614","Government","Primary","Inner Regional",1028,25,33,28,2,5,516.82761881577,38,1597,665,341,1643,0.7,1313,2.3
"2441",44602,"Harston Primary School",3.33333333333333,51,71,69,86,13.06,"VIC","3616","Government","Primary","Inner Regional",965,60,22,16,10,0,546.554053903311,39,1733,765,335,1941,0.8,1383,2.2
"2442",44834,"Osbornes Flat Primary School",6.25,57,77,68,85,15.51,"VIC","3691","Government","Primary","Inner Regional",1067,12,38,21,4,0,509.316602547029,40,1850,809,351,2081,0.8,1500,2.3
"2443",45802,"Frankston Primary School",12.3,47,71,69,88,12.97,"VIC","3199","Government","Primary","Major Cities",996,34,31,25,4,22,534.506197974673,39,1733,765,335,1941,0.8,1383,2.2
"2444",44459,"Donald Primary School",7.36363636363636,54,70,76,86,13.02,"VIC","3480","Government","Primary","Outer Regional",978,41,32,22,2,4,524.393226809901,39,1733,765,335,1941,0.8,1383,2.2
"2445",44572,"Beveridge Primary School",12.6585365853659,57,71,77,87,11.97,"VIC","3753","Government","Primary","Major Cities",1001,35,35,23,4,32,526.425488462023,40,1850,809,351,2081,0.8,1500,2.3
"2446",44445,"Epping Primary School",12.1612903225806,59,70,59,86,13.66,"VIC","3076","Government","Primary","Major Cities",970,46,27,20,2,64,519.948937533042,40,1850,809,351,2081,0.8,1500,2.3
"2447",44546,"St Kilda Primary School",12.5294117647059,57,73,59,87,22.35,"VIC","3182","Government","Primary","Major Cities",1123,5,14,29,1,26,512.490211510684,39,1733,765,335,1941,0.8,1383,2.2
"2448",44734,"Cape Clear Primary School",5.25,54,70,63,87,11.88,"VIC","3351","Government","Primary","Inner Regional",1012,31,38,23,0,0,536.272771509793,39,1733,765,335,1941,0.8,1383,2.2
"2449",45197,"Warburton Primary School",7.28571428571429,46,74,55,87,15.96,"VIC","3799","Government","Primary","Inner Regional",1016,29,39,16,4,6,514.346968242072,44,2167,862,420,2474,0.8,2038,2.6
"2450",45211,"Tallarook Primary School",8,57,75,60,88,15.58,"VIC","3659","Government","Primary","Inner Regional",1051,26,30,24,8,9,513.717200937353,38,1597,665,341,1643,0.7,1313,2.3
"2451",45300,"Barnawartha Primary School",10.6666666666667,50,71,77,86,18.52,"VIC","3688","Government","Primary","Inner Regional",989,39,33,19,3,3,506.947622627268,40,1850,809,351,2081,0.8,1500,2.3
"2452",44526,"Fitzroy North Primary School",14.9230769230769,75,74,85,92,13.58,"VIC","3068","Government","Primary","Major Cities",1149,5,8,23,0,31,517.954847592586,38,1597,665,341,1643,0.7,1313,2.3
"2453",44554,"Ashby Primary School",9.8,54,79,86,87,13.69,"VIC","3218","Government","Primary","Major Cities",1056,20,22,29,4,18,533.628629726373,44,2167,862,420,2474,0.8,2038,2.6
"2454",44598,"Preston Primary School",12.9019607843137,57,71,64,88,18.51,"VIC","3072","Government","Primary","Major Cities",1105,8,19,30,1,28,530.315307545565,38,1597,665,341,1643,0.7,1313,2.3
"2455",45313,"Tooradin Primary School",12.8333333333333,62,70,69,87,16.79,"VIC","3980","Government","Primary","Major Cities",1002,33,39,22,2,3,542.232552236447,40,1850,809,351,2081,0.8,1500,2.3
"2456",45775,"Glenferrie Primary School",14.6470588235294,57,72,80,90,12.23,"VIC","3122","Government","Primary","Major Cities",1156,2,7,26,0,52,517.743413931116,51,1000,573,200,1412,0.7,1006,2.1
"2457",44463,"Elmore Primary School",3.75,49,72,62,87,15.14,"VIC","3558","Government","Primary","Inner Regional",942,57,22,14,7,0,527.951430371019,51,1000,573,200,1412,0.7,1006,2.1
"2458",44541,"Dookie Primary School",6,51,75,69,86,11.03,"VIC","3646","Government","Primary","Inner Regional",949,54,28,18,11,8,516.037064908958,52,997,601,180,1420,0.7,1114,2.2
"2459",45774,"Brighton Primary School",12.3181818181818,57,78,67,91,13.38,"VIC","3186","Government","Primary","Major Cities",1157,2,7,26,0,31,500.582771938491,52,997,601,180,1420,0.7,1114,2.2
"2460",50502,"Natimuk Primary School",5.4,49,74,72,88,18.75,"VIC","3409","Government","Primary","Outer Regional",1011,30,31,28,0,0,554.292014710355,52,997,601,180,1420,0.7,1114,2.2
"2461",44246,"Big Hill Primary School",14.3529411764706,64,74,69,87,14.07,"VIC","3555","Government","Primary","Inner Regional",976,42,33,19,6,4,513.473987121248,51,1000,573,200,1412,0.7,1006,2.1
"2462",44550,"Clunes Primary School",8.61538461538461,47,75,77,87,15.04,"VIC","3370","Government","Primary","Inner Regional",989,35,34,22,7,4,532.064308801353,52,997,601,180,1420,0.7,1114,2.2
"2463",52297,"Marnoo Primary School",6,47,70,80,87,15.34,"VIC","3387","Government","Primary","Outer Regional",947,60,34,6,0,29,522.584253442592,52,997,601,180,1420,0.7,1114,2.2
"2464",52633,"Beechworth Primary School",10.4705882352941,44,73,71,86,12.95,"VIC","3747","Government","Primary","Inner Regional",1059,18,25,25,4,7,523.252101391754,41,2798,1044,483,2988,0.8,2289,2.5
"2465",44262,"Ardmona Primary School",2.25,49,71,60,84,15.09,"VIC","3629","Government","Primary","Inner Regional",878,91,9,0,0,0,518.833706744317,41,2798,1044,483,2988,0.8,2289,2.5
